Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Costa Rica,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cuba,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Dominica,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,98,95,97,96,97,97,97,97,97,97,97,97,98,98,98,98,98,98,99,92,89,100,97,
Dominican Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),98,97,95,97,98,98,99,98,98,99,99,99,99,99,92,91,99,99,99,99,99,99,95,99,
Ecuador,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,98,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
El Salvador,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,98,99,100,98,98,97,97,97,92,94,99,98,97,98,98,98,100,100,100,100,99,99,99,
Grenada,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),98,99,99,99,99,99,97,98,96,99,99,100,100,100,100,100,100,100,100,100,99,96,98,97,
Guatemala,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,98,98,97,97,98,97,97,98,96,97,97,96,97,97,98,98,99,98,99,99,99,99,97,
Guyana,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,99,98,95,91,85,80,75,79,79,81,86,91,91,94,95,96,96,97,97,98,99,96,99,
Haiti,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),69,67,65,66,67,67,55,65,64,65,54,35,39,52,45,49,51,66,59,58,61,63,69,68,
Honduras,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,98,96,90,90,92,95,94,93,92,92,94,93,95,94,95,95,96,97,97,94,95,96,90,
Jamaica,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,99,99,99,99,99,99,98,99,98,98,98,97,99,99,99,99,99,99,99,99,99,99,97,
Mexico,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nicaragua,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,89,92,86,81,82,89,89,87,90,86,87,90,90,90,94,95,94,96,96,96,96,95,97,
Panama,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,99,100,100,100,99,100,100,100,100,100,100,99,100,99,
Paraguay,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,98,98,98,99,99,99,100,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,
Peru,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,99,99,98,98,98,98,99,99,98,99,99,99,100,100,100,100,100,100,100,100,100,100,100,
Saint Kitts and Nevis,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,99,100,100,100,97,98,99,98,100,100,100,100,100,100,100,100,100,100,100,100,
Saint Lucia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,99,99,98,97,99,98,98,98,98,100,99,100,99,96,99,100,99,86,85,92,95,
Saint Vincent and the Grenadines,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,98,95,97,98,95,93,97,99,98,98,100,99,100,98,97,97,99,98,
Suriname,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),86,100,94,94,93,96,92,98,97,97,94,96,98,99,99,100,99,99,99,99,99,97,99,95,
Trinidad and Tobago,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
United States of America,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Uruguay,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Venezuela (Bolivarian Republic of),Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,,,,,,,,,,,,,,,,,100,100,100,100,99,99,
Afghanistan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,86,93,90,84,82,84,82,78,84,79,79,77,78,84,81,81,80,80,84,81,79,79,
Bahrain,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Djibouti,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),87,88,76,70,80,73,73,74,79,80,83,89,82,87,83,71,73,74,81,83,79,55,73,76,
Egypt,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,99,99,99,98,98,99,98,99,99,100,100,99,100,99,100,99,99,99,99,97,97,
Iran (Islamic Republic of),Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,
Iraq,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,,100,99,96,94,93,99,99,100,99,100,100,100,99,100,100,100,99,100,99,99,100,
Jordan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,97,98,96,86,97,95,97,99,96,95,96,94,94,94,99,95,95,97,97,95,94,95,93,
Kuwait,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Lebanon,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,99,100,99,99,99,98,99,99,100,99,99,97,97,98,99,97,90,83,88,90,
Libya,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,98,98,99,
Morocco,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,99,99,99,99,100,99,99,98,100,99,99,100,99,99,100,100,100,99,98,96,100,99,
"occupied Palestinian territory, including east Jerusalem",Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),78,77,75,81,79,81,82,82,80,81,81,82,81,81,82,86,82,85,78,88,88,86,86,91,
Oman,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Pakistan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,98,95,93,96,95,97,96,92,94,94,91,95,93,92,95,94,95,93,93,94,90,87,90,
Qatar,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Saudi Arabia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Somalia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,,,,,,,,,,,,43,44,42,51,46,50,52,57,55,53,46,
Sudan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,99,99,97,95,97,98,96,97,92,96,95,96,98,98,95,94,93,93,90,68,84,
Syrian Arab Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,98,99,99,99,99,99,99,99,99,98,97,97,95,96,93,93,87,88,
Tunisia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,99,99,99,99,99,100,100,100,100,99,100,100,100,100,98,94,97,
United Arab Emirates,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Yemen,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,97,97,98,98,98,97,97,97,97,98,96,96,95,95,95,92,93,91,85,87,78,83,79,
Albania,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),98,96,97,95,96,96,96,96,98,97,98,99,98,99,99,99,99,99,100,99,99,99,99,99,
Andorra,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Armenia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),87,82,92,95,95,88,88,88,94,95,96,97,97,98,98,99,98,99,99,99,99,99,99,100,
Austria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Azerbaijan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),98,99,99,97,98,99,98,98,99,99,99,99,98,99,99,99,100,99,99,100,100,100,97,100,
Belarus,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,
Belgium,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Bosnia and Herzegovina,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),93,99,98,99,100,100,100,100,100,99,98,97,98,99,100,98,100,100,100,98,99,99,97,99,
