Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Grenada,Internal transfers and grants,Million NCU,26,30,40,34,42,45,38,41,44,45,43,50,51,52,51,52,50,57,59,67,64,66,66,75,
Guatemala,Internal transfers and grants,Million NCU,"1,248","1,458","1,448","1,657","1,720","1,916","2,415","2,649","3,365","3,838","3,466","3,597","3,759","4,324","4,619","4,846","5,624","5,623","6,076","7,456","8,292","11,256","10,476","9,783",
Guyana,Internal transfers and grants,Million NCU,"4,401","4,097","4,568","4,790","5,105","5,460","5,568","6,732","7,661","9,108","9,927","12,940","14,063","15,354","17,708","19,982","22,819","26,435","28,341","30,448","44,492","52,501","52,198","59,822",
Haiti,Internal transfers and grants,Million NCU,"1,164","1,075",758,943,"1,316","1,523",769,"2,646","3,120","3,428","3,580","1,862","2,217","2,622","2,678","3,468","3,825","4,016","5,027","4,371","6,164","5,962","6,428","7,184",
Honduras,Internal transfers and grants,Million NCU,"2,751","2,400","2,576","2,685","2,655","3,645","4,813","5,390","6,094","8,082","8,306","9,811","8,180","9,048","8,775","9,349","11,000","10,988","11,366","12,313","14,566","17,289","18,153","14,316",
Jamaica,Internal transfers and grants,Million NCU,"12,338","10,152","12,993","10,974","14,918","14,565","14,153","21,453","26,825","28,185","31,848","34,177","31,821","37,332","41,506","52,734","56,815","69,118","69,856","73,919","79,281","100,330","141,930","129,837",
Mexico,Internal transfers and grants,Million NCU,"45,131","49,944","54,281","63,314","75,145","89,958","101,806","118,672","142,855","153,558","173,477","191,833","212,915","223,151","233,594","254,091","262,456","278,817","288,512","296,328","362,363","367,080","404,618","405,138",
Nicaragua,Internal transfers and grants,Million NCU,"1,160","1,124","1,208","1,313","1,164","1,695","2,351","2,878","3,523","4,262","4,114","4,726","5,707","6,125","7,654","8,952","10,278","11,467","12,303","12,817","13,689","19,527","17,019","18,220",
Panama,Internal transfers and grants,Million NCU,357,336,342,332,431,358,473,598,672,724,784,826,930,"1,047","1,249","1,380","1,420","1,484","1,547","1,721","1,647","1,762","1,853","1,847",
Paraguay,Internal transfers and grants,Million NCU,"336,881","353,451","350,915","482,255","566,609","633,563","863,202","1,024,695","1,076,379","1,512,023","1,807,927","2,251,651","2,903,496","2,899,348","3,626,433","3,806,313","3,998,781","4,098,427","4,433,715","4,900,594","6,529,351","8,460,784","7,802,482","9,639,441",
Peru,Internal transfers and grants,Million NCU,"1,910","1,910","1,951","1,896","2,158","2,851","3,040","3,366","3,646","4,525","5,180","5,372","6,659","7,374","9,308","10,069","11,023","11,741","13,270","13,874","18,949","25,977","23,299","20,522",
Saint Kitts and Nevis,Internal transfers and grants,Million NCU,23,24,25,26,29,33,39,39,37,41,41,43,44,45,50,50,59,63,65,76,73,82,77,89,
Saint Lucia,Internal transfers and grants,Million NCU,39,40,41,41,42,46,50,52,59,66,70,72,82,88,85,92,94,105,105,113,118,136,137,151,
Saint Vincent and the Grenadines,Internal transfers and grants,Million NCU,32,34,37,36,37,38,38,41,46,48,50,46,54,55,53,54,57,61,67,70,76,86,83,89,
Suriname,Internal transfers and grants,Million NCU,32,29,52,58,79,92,124,131,128,152,149,161,186,207,215,221,234,235,422,483,434,567,684,494,
Trinidad and Tobago,Internal transfers and grants,Million NCU,818,972,"1,123","1,373","1,575","2,184","2,186","2,660","3,095","3,219","3,508","3,888","3,937","4,547","4,620","4,960","5,098","5,539","5,195","5,047","4,864","5,475","5,798","6,248",
United States of America,Internal transfers and grants,Million NCU,"374,250","427,954","480,787","525,918","571,090","610,947","663,666","709,110","768,337","849,150","894,065","921,646","955,868","989,020","1,064,129","1,136,847","1,189,398","1,216,016","1,266,210","1,339,778","1,727,487","1,703,770","1,739,157","1,821,544",
Uruguay,Internal transfers and grants,Million NCU,"6,258","7,253","7,949","10,133","10,099","8,666","10,289","12,001","18,559","20,770","22,971","19,438","20,396","21,138","22,330","24,255","26,910","27,241","31,338","35,051","38,999","56,835","55,437","51,369",
Venezuela (Bolivarian Republic of),Internal transfers and grants,Million NCU,,,,,,,,,,,,,,,,,,,0,2,84,955,"4,891","11,995",
Afghanistan,Internal transfers and grants,Million NCU,,,150,"1,432","1,337","1,614","1,722","2,394","3,249","3,230","3,339","4,014","3,544","4,952","5,592","6,411","7,339","8,267","7,334","7,305","18,354","8,888","2,329","3,347",
Bahrain,Internal transfers and grants,Million NCU,81,86,95,107,116,137,150,173,202,247,258,273,310,343,360,378,361,342,345,335,386,423,415,411,
Djibouti,Internal transfers and grants,Million NCU,"1,522","1,396","1,444","1,808","1,792","1,845","2,622","2,903","3,537","3,764","4,107","4,965","4,798","4,883","5,229","5,600","4,683","4,283","5,398","5,488","4,465","2,979","5,090","5,549",
Egypt,Internal transfers and grants,Million NCU,"4,494","5,033","5,577","5,242","5,746","6,553","8,727","9,422","11,315","13,569","14,014","17,484","18,666","22,370","26,713","34,737","38,242","53,040","48,981","56,512","69,098","90,775","99,054","112,823",
Iran (Islamic Republic of),Internal transfers and grants,Million NCU,"6,306,515","8,301,280","10,512,624","14,595,778","16,540,893","20,982,495","30,503,796","35,463,093","38,137,908","52,500,527","54,316,367","93,508,274","102,359,339","151,893,423","274,834,670","342,111,751","398,313,135","454,014,967","449,969,918","489,915,144","707,283,739","1,026,162,790","2,284,912,680","3,351,097,761",
Iraq,Internal transfers and grants,Million NCU,,,,"406,763","1,451,095","1,485,604","1,465,613","2,271,094","3,725,858","3,778,233","3,858,722","4,522,847","2,564,986","3,136,184","2,838,505","1,513,481","5,040,390","3,807,236","5,446,369","5,810,032","5,607,994","7,733,119","8,259,021","9,051,556",
Jordan,Internal transfers and grants,Million NCU,233,256,272,268,244,355,387,498,638,781,763,810,"1,055",978,"1,102","1,006",800,835,795,826,933,963,"1,037","1,098",
Kuwait,Internal transfers and grants,Million NCU,185,269,278,303,315,362,411,480,595,673,746,838,949,"1,032","1,142","1,233","1,334","1,460","1,910","1,953","1,840","2,140","2,085","2,210",
Lebanon,Internal transfers and grants,Million NCU,"522,204","591,375","549,765","542,914","622,163","609,948","655,141","706,506","765,698","890,988","981,587","1,049,134","1,019,924","1,111,020","1,381,199","1,193,144","1,290,828","1,330,920","1,454,752","1,298,630","1,337,340","1,284,925","3,415,360","34,171,792",
Libya,Internal transfers and grants,Million NCU,327,456,851,913,989,"1,040","1,187","1,383","1,611","1,879","2,191","1,500","3,408","3,499","2,503","2,706","2,890","2,897","3,644","3,830","3,635","7,110","6,554","13,256",
Morocco,Internal transfers and grants,Million NCU,"4,185","4,840","5,447","5,383","5,784","6,594","6,238","7,637","8,539","10,077","10,466","11,218","11,690","12,010","13,015","13,030","13,005","12,849","12,910","13,604","16,506","15,181","19,875","22,641",
"occupied Palestinian territory, including east Jerusalem",Internal transfers and grants,Million NCU,88,84,90,96,136,173,145,172,240,266,299,337,335,408,398,393,371,455,397,556,523,674,658,686,
Oman,Internal transfers and grants,Million NCU,188,189,206,219,232,255,267,319,371,428,512,545,633,758,"1,006","1,114","1,084","1,097",978,"1,128","1,332","1,292","1,108","1,213",
Pakistan,Internal transfers and grants,Million NCU,"40,886","42,437","49,850","29,357","36,917","38,708","37,289","42,127","41,118","64,534","75,259","76,632","123,148","142,255","150,616","188,519","207,179","301,569","343,350","385,952","463,422","587,547","703,686","713,528",
Qatar,Internal transfers and grants,Million NCU,773,931,"1,089","2,268","2,663","3,120","3,654","4,281","5,014","5,434","5,785","7,186","9,409","12,641","15,777","18,810","16,823","15,906","16,734","17,476","17,399","16,092","15,417","16,244",
Saudi Arabia,Internal transfers and grants,Million NCU,"21,566","22,349","21,849","23,306","24,857","30,503","37,283","39,086","36,829","44,866","44,750","62,663","75,752","87,018","105,826","100,773","108,479","116,185","119,190","126,860","143,277","149,658","155,920","152,389",
Somalia,Internal transfers and grants,Million NCU,,,,,,,,,,,,,,"130,021","123,939","146,092","182,494","259,828","265,938","315,623","483,193","796,353","773,336","1,413,699",
Sudan,Internal transfers and grants,Million NCU,392,417,464,616,986,"1,271","1,592","2,234","2,047","3,229","2,465","2,288","3,010","3,106","5,670","2,875","6,646","3,862","10,244","14,491","39,271","68,336","50,416","86,770",
Syrian Arab Republic,Internal transfers and grants,Million NCU,"14,638","18,799","22,960","26,347","27,064","31,170","30,631","35,606","38,385","40,110","40,973","37,176","41,742","53,455","71,675","84,193","114,105","164,725","188,978","244,016","278,125","453,794","730,902","776,954",
Tunisia,Internal transfers and grants,Million NCU,531,551,572,594,617,641,691,744,801,863,930,"1,002","1,079","1,177","1,365","1,402","1,606","1,658","1,736","2,316","3,069","3,160","2,961","3,607",
United Arab Emirates,Internal transfers and grants,Million NCU,"6,235","7,259","6,711","7,405","7,633","8,748","10,870","14,259","21,684","27,787","29,248","34,229","34,183","37,048","38,147","33,583","40,297","30,671","32,245","33,639","45,424","51,682","55,436","62,678",
Yemen,Internal transfers and grants,Million NCU,"36,964","41,186","43,776","51,943","50,065","53,102","61,129","67,385","86,164","66,712","78,874","76,415","94,173","85,077","72,781","42,428","48,068","30,805","89,056","114,890","129,139","141,343","241,012","215,372",
Albania,Internal transfers and grants,Million NCU,"12,332","13,717","13,716","15,544","17,956","18,474","19,318","21,999","19,638","21,513","23,056","25,037","26,133","27,391","27,990","29,850","31,610","30,478","34,457","36,538","35,898","40,003","63,382","65,704",
Andorra,Internal transfers and grants,Million NCU,7,9,17,17,19,34,25,27,29,30,69,66,39,39,39,43,43,44,46,46,65,64,60,63,
