variable code,variable name,long code (GHED data explorer),category 1,category 2,unit,currency,Method of measurement (INDICATORS category1),
location,Countries and territories name,-,-,-,-,-,-,
code,Countries and territories ISO3 code ,-,-,-,-,-,-,
region,Region (WHO),-,-,-,-,-,-,
income,Country income group 2021 (World Bank),-,-,-,-,-,-,
year,Year,-,-,-,-,-,-,
hc1nec_gghed_usd2023,"Domestic General Government Expenditure on Other curative care, in million constant (2023) US$",sha11.HC.1.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc2_gghed_usd2023,"Domestic General Government Expenditure on Rehabilitative care, in million constant (2023) US$",sha11.HC.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc21_gghed_usd2023,"Domestic General Government Expenditure on Inpatient rehabilitative care, in million constant (2023) US$",sha11.HC.2.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc22_gghed_usd2023,"Domestic General Government Expenditure on Day rehabilitative care, in million constant (2023) US$",sha11.HC.2.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc23_gghed_usd2023,"Domestic General Government Expenditure on Outpatient rehabilitative care, in million constant (2023) US$",sha11.HC.2.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc24_gghed_usd2023,"Domestic General Government Expenditure on Home-based rehabilitative care, in million constant (2023) US$",sha11.HC.2.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc3_gghed_usd2023,"Domestic General Government Expenditure on Long-term care (health), in million constant (2023) US$",sha11.HC.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc31_gghed_usd2023,"Domestic General Government Expenditure on Inpatient long-term care (health), in million constant (2023) US$",sha11.HC.3.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc32_gghed_usd2023,"Domestic General Government Expenditure on Day long-term care (health), in million constant (2023) US$",sha11.HC.3.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc33_gghed_usd2023,"Domestic General Government Expenditure on Outpatient long-term care (health), in million constant (2023) US$",sha11.HC.3.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc34_gghed_usd2023,"Domestic General Government Expenditure on Home-based long-term care (health), in million constant (2023) US$",sha11.HC.3.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc3nec_gghed_usd2023,"Domestic General Government Expenditure on Other Long-Term Care, in million constant (2023) US$",sha11.HC.3.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc4_gghed_usd2023,"Domestic General Government Expenditure on Ancillary services (non-specified by function), in million constant (2023) US$",sha11.HC.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc41_gghed_usd2023,"Domestic General Government Expenditure on Laboratory services, in million constant (2023) US$",sha11.HC.4.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc42_gghed_usd2023,"Domestic General Government Expenditure on Imaging services, in million constant (2023) US$",sha11.HC.4.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc43_gghed_usd2023,"Domestic General Government Expenditure on Patient transportation, in million constant (2023) US$",sha11.HC.4.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc5_gghed_usd2023,"Domestic General Government Expenditure on Medical goods (non-specified by function), in million constant (2023) US$",sha11.HC.5_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc51_gghed_usd2023,"Domestic General Government Expenditure on Pharmaceuticals and Other medical durable goods, in million constant (2023) US$",sha11.HC.5.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc511_gghed_usd2023,"Domestic General Government Expenditure on Prescribed medicines, in million constant (2023) US$",sha11.HC.5.1.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc512_gghed_usd2023,"Domestic General Government Expenditure on Over-the-counter medicines, in million constant (2023) US$",sha11.HC.5.1.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc513_gghed_usd2023,"Domestic General Government Expenditure on Other medical non-durable goods, in million constant (2023) US$",sha11.HC.5.1.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc52_gghed_usd2023,"Domestic General Government Expenditure on Therapeutic appliances and Other medical goods, in million constant (2023) US$",sha11.HC.5.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc5nec_gghed_usd2023,"Domestic General Government Expenditure on Unspecified medical goods (n.e.c.), in million constant (2023) US$",sha11.HC.5.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc6_gghed_usd2023,"Domestic General Government Expenditure on Preventive care, in million constant (2023) US$",sha11.HC.6_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc61_gghed_usd2023,"Domestic General Government Expenditure on Information, education and counseling (IEC) programmes, in million constant (2023) US$",sha11.HC.6.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc62_gghed_usd2023,"Domestic General Government Expenditure on Immunization Programmes, in million constant (2023) US$",sha11.HC.6.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
fp3214_gghed_usd2023,"Domestic General Government Expenditure on Vaccines, in million constant (2023) US$",sha11.FP.3.2.1.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc63_gghed_usd2023,"Domestic General Government Expenditure on Early disease detection programmes, in million constant (2023) US$",sha11.HC.6.3_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc64_gghed_usd2023,"Domestic General Government Expenditure on Healthy condition monitoring programmes, in million constant (2023) US$",sha11.HC.6.4_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc65_gghed_usd2023,"Domestic General Government Expenditure on Epidemiological surveillance and risk and disease control programmes, in million constant (2023) US$",sha11.HC.6.5_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc66_gghed_usd2023,"Domestic General Government Expenditure on Preparing for disaster and emergency response programmes, in million constant (2023) US$",sha11.HC.6.6_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc6nec_gghed_usd2023,"Domestic General Government Expenditure on Unspecified preventive care (n.e.c.), in million constant (2023) US$",sha11.HC.6.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc7_gghed_usd2023,"Domestic General Government Expenditure on Governance, health system & financing administration, in million constant (2023) US$",sha11.HC.7_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc71_gghed_usd2023,"Domestic General Government Expenditure on Governance and Health system administration, in million constant (2023) US$",sha11.HC.7.1_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc72_gghed_usd2023,"Domestic General Government Expenditure on Administration of health financing, in million constant (2023) US$",sha11.HC.7.2_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc7nec_gghed_usd2023,"Domestic General Government Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million constant (2023) US$",sha11.HC.7.nec_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc9_gghed_usd2023,"Domestic General Government Expenditure on Other health care services (n.e.c.), in million constant (2023) US$",sha11.HC.9_gghe-d,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc_ext_usd2023,"External health expenditure by Health Care Functions, in million constant (2023) US$",sha11.HC_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc1_ext_usd2023,"External Expenditure on Curative care, in million constant (2023) US$",sha11.HC.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc11_ext_usd2023,"External Expenditure on Inpatient curative care, in million constant (2023) US$",sha11.HC.1.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc12_ext_usd2023,"External Expenditure on Day curative care, in million constant (2023) US$",sha11.HC.1.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc13_ext_usd2023,"External Expenditure on Outpatient curative care, in million constant (2023) US$",sha11.HC.1.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc131_ext_usd2023,"External Expenditure on General outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc132_ext_usd2023,"External Expenditure on Dental outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc133_ext_usd2023,"External Expenditure on Specialised outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc139_ext_usd2023,"External Expenditure on all other outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.9_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc13nec_ext_usd2023,"External Expenditure on Outpatient curative care n.e.c., in million constant (2023) US$",sha11.HC.1.3.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc14_ext_usd2023,"External Expenditure on Home-based curative care, in million constant (2023) US$",sha11.HC.1.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc1nec_ext_usd2023,"External Expenditure on Other curative care, in million constant (2023) US$",sha11.HC.1.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc2_ext_usd2023,"External Expenditure on Rehabilitative care, in million constant (2023) US$",sha11.HC.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc21_ext_usd2023,"External Expenditure on Inpatient rehabilitative care, in million constant (2023) US$",sha11.HC.2.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc22_ext_usd2023,"External Expenditure on Day rehabilitative care, in million constant (2023) US$",sha11.HC.2.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc23_ext_usd2023,"External Expenditure on Outpatient rehabilitative care, in million constant (2023) US$",sha11.HC.2.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc24_ext_usd2023,"External Expenditure on Home-based rehabilitative care, in million constant (2023) US$",sha11.HC.2.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc3_ext_usd2023,"External Expenditure on Long-term care (health), in million constant (2023) US$",sha11.HC.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc31_ext_usd2023,"External Expenditure on Inpatient long-term care (health), in million constant (2023) US$",sha11.HC.3.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc32_ext_usd2023,"External Expenditure on Day long-term care (health), in million constant (2023) US$",sha11.HC.3.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc33_ext_usd2023,"External Expenditure on Outpatient long-term care (health), in million constant (2023) US$",sha11.HC.3.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc34_ext_usd2023,"External Expenditure on Home-based long-term care (health), in million constant (2023) US$",sha11.HC.3.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc3nec_ext_usd2023,"External Expenditure on Other Long-Term Care, in million constant (2023) US$",sha11.HC.3.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc4_ext_usd2023,"External Expenditure on Ancillary services (non-specified by function), in million constant (2023) US$",sha11.HC.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc41_ext_usd2023,"External Expenditure on Laboratory services, in million constant (2023) US$",sha11.HC.4.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc42_ext_usd2023,"External Expenditure on Imaging services, in million constant (2023) US$",sha11.HC.4.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc43_ext_usd2023,"External Expenditure on Patient transportation, in million constant (2023) US$",sha11.HC.4.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc5_ext_usd2023,"External Expenditure on Medical goods (non-specified by function), in million constant (2023) US$",sha11.HC.5_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc51_ext_usd2023,"External Expenditure on Pharmaceuticals and Other medical durable goods, in million constant (2023) US$",sha11.HC.5.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc511_ext_usd2023,"External Expenditure on Prescribed medicines, in million constant (2023) US$",sha11.HC.5.1.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc512_ext_usd2023,"External Expenditure on Over-the-counter medicines, in million constant (2023) US$",sha11.HC.5.1.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc513_ext_usd2023,"External Expenditure on Other medical non-durable goods, in million constant (2023) US$",sha11.HC.5.1.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc52_ext_usd2023,"External Expenditure on Therapeutic appliances and Other medical goods, in million constant (2023) US$",sha11.HC.5.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc5nec_ext_usd2023,"External Expenditure on Unspecified medical goods (n.e.c.), in million constant (2023) US$",sha11.HC.5.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc6_ext_usd2023,"External Expenditure on Preventive care, in million constant (2023) US$",sha11.HC.6_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc61_ext_usd2023,"External Expenditure on Information, education and counseling (IEC) programmes, in million constant (2023) US$",sha11.HC.6.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc62_ext_usd2023,"External sources of funding on Immunization Programmes , in million constant (2023) US$",sha11.HC.6.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
fp3214_ext_usd2023,"External sources of funding on Vaccines, in million constant (2023) US$",sha11.FP.3.2.1.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc63_ext_usd2023,"External Expenditure on Early disease detection programmes, in million constant (2023) US$",sha11.HC.6.3_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc64_ext_usd2023,"External Expenditure on Healthy condition monitoring programmes, in million constant (2023) US$",sha11.HC.6.4_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc65_ext_usd2023,"External Expenditure on Epidemiological surveillance and risk and disease control programmes, in million constant (2023) US$",sha11.HC.6.5_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc66_ext_usd2023,"External Expenditure on Preparing for disaster and emergency response programmes, in million constant (2023) US$",sha11.HC.6.6_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc6nec_ext_usd2023,"External Expenditure on Unspecified preventive care (n.e.c.), in million constant (2023) US$",sha11.HC.6.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc7_ext_usd2023,"External Expenditure on Governance, health system & financing administration, in million constant (2023) US$",sha11.HC.7_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc71_ext_usd2023,"External Expenditure on Governance and Health system administration, in million constant (2023) US$",sha11.HC.7.1_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc72_ext_usd2023,"External Expenditure on Administration of health financing, in million constant (2023) US$",sha11.HC.7.2_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc7nec_ext_usd2023,"External Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million constant (2023) US$",sha11.HC.7.nec_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc9_ext_usd2023,"External Expenditure on Other health care services (n.e.c.), in million constant (2023) US$",sha11.HC.9_ext,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc_pvtd_usd2023,"Domestic Private Health Expenditure by Health Care Functions, in million constant (2023) US$",sha11.HC_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc1_pvtd_usd2023,"Domestic Private Expenditure on Curative care, in million constant (2023) US$",sha11.HC.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc11_pvtd_usd2023,"Domestic Private Expenditure on Inpatient curative care, in million constant (2023) US$",sha11.HC.1.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc12_pvtd_usd2023,"Domestic Private Expenditure on Day curative care, in million constant (2023) US$",sha11.HC.1.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc13_pvtd_usd2023,"Domestic Private Expenditure on Outpatient curative care, in million constant (2023) US$",sha11.HC.1.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc131_pvtd_usd2023,"Domestic Private Expenditure on General outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc132_pvtd_usd2023,"Domestic Private Expenditure on Dental outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc133_pvtd_usd2023,"Domestic Private Expenditure on Specialised outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc139_pvtd_usd2023,"Domestic Private Expenditure on all other outpatient curative care, in million constant (2023) US$",sha11.HC.1.3.9_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc13nec_pvtd_usd2023,"Domestic Private Expenditure on Outpatient curative care n.e.c., in million constant (2023) US$",sha11.HC.1.3.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc14_pvtd_usd2023,"Domestic Private Expenditure on Home-based curative care, in million constant (2023) US$",sha11.HC.1.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc1nec_pvtd_usd2023,"Domestic Private Expenditure on Other curative care, in million constant (2023) US$",sha11.HC.1.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc2_pvtd_usd2023,"Domestic Private Expenditure on Rehabilitative care, in million constant (2023) US$",sha11.HC.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc21_pvtd_usd2023,"Domestic Private Expenditure on Inpatient rehabilitative care, in million constant (2023) US$",sha11.HC.2.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc22_pvtd_usd2023,"Domestic Private Expenditure on Day rehabilitative care, in million constant (2023) US$",sha11.HC.2.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc23_pvtd_usd2023,"Domestic Private Expenditure on Outpatient rehabilitative care, in million constant (2023) US$",sha11.HC.2.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc24_pvtd_usd2023,"Domestic Private Expenditure on Home-based rehabilitative care, in million constant (2023) US$",sha11.HC.2.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc3_pvtd_usd2023,"Domestic Private Expenditure on Long-term care (health), in million constant (2023) US$",sha11.HC.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc31_pvtd_usd2023,"Domestic Private Expenditure on Inpatient long-term care (health), in million constant (2023) US$",sha11.HC.3.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc32_pvtd_usd2023,"Domestic Private Expenditure on Day long-term care (health), in million constant (2023) US$",sha11.HC.3.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc33_pvtd_usd2023,"Domestic Private Expenditure on Outpatient long-term care (health), in million constant (2023) US$",sha11.HC.3.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc34_pvtd_usd2023,"Domestic Private Expenditure on Home-based long-term care (health), in million constant (2023) US$",sha11.HC.3.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc3nec_pvtd_usd2023,"Domestic Private Expenditure on Other Long-Term Care, in million constant (2023) US$",sha11.HC.3.nec_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc4_pvtd_usd2023,"Domestic Private Expenditure on Ancillary services (non-specified by function), in million constant (2023) US$",sha11.HC.4_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc41_pvtd_usd2023,"Domestic Private Expenditure on Laboratory services, in million constant (2023) US$",sha11.HC.4.1_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc42_pvtd_usd2023,"Domestic Private Expenditure on Imaging services, in million constant (2023) US$",sha11.HC.4.2_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
hc43_pvtd_usd2023,"Domestic Private Expenditure on Patient transportation, in million constant (2023) US$",sha11.HC.4.3_pvtd,HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS BY SOURCE,Millions,"US$ (constant, 2023)",-,
